planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
NGTS-4 b,0.0648,0.2837,1650,NGTS-4,0.019,0.75,0.84,,5143
NGTS-5 b,0.229,1.136,952,NGTS-5,0.0382,0.661,0.739,,4987
NGTS-6 b,1.33,1.271,,NGTS-6,0.016623018,0.7876,0.656,9.6,4410
NGTS-7A b,62,1.07,,NGTS-7A,0.0139,,0.61,0.055,3359
NGTS-8 b,0.93,1.09,1345,NGTS-8,0.035,0.89,0.98,12.48,5241
NGTS-9 b,2.9,1.07,1448,NGTS-9,0.058,1.34,1.38,0.96,6330
NLTT 25473 b,15,,,NLTT 25473,,,,,18500
NLTT 41135 b,33.7,1.13,,NLTT 41135,0.024,0.188,0.21,,3230
NLTT 51469 (AB)b,60,0.882,1525,NLTT 51469,3834,0.42,0.488,5.5,3410
NLTT 5306 b,56,,,NLTT 5306,0.00263,0.44,0.0156,0.71,7756
NN Ser (AB) c,6.91,,,NN Ser (AB),5.38,0.646,,,
NN Ser (AB) d,2.28,,,NN Ser (AB),3.39,0.646,,,
NN Ser e,9.43,,,NN Ser (AB),6.43,0.646,,,
NSVS 11868841 (AB)b,47,,,NSVS 11868841 (AB),,0.97,1.149,,5250
NSVS 1425 (AB) d,13.24,,,NSVS 1425 (AB),3.12,0.528,,,42000
NSVS 2502726 (AB)b,38,,,NSVS 2502726 (AB),3.69,0.689,0.674,,4353
NSVS 7453183 (ABC)b,50,,,NSVS 7453183 (ABC),,0.68,,,4533
NSVS 7826147 (AB)b,1.36,,,NSVS 7826147 (AB),3.957,0.442,0.172,,29200
nu2 CMa b,1.895,,,nu2 CMa,1.761,1.52,2.3,,4792
nu2 CMa c,0.906,,,nu2 CMa,2.143,1.52,2.3,,4792
nu2 Lup b,0.01472,0.14658,911,nu2 Lup,0.0963,,,,
nu2 Lup c,0.0353,0.25489,682,nu2 Lup,0.1717,,,,
nu2 Lup d,0.02725,0.22366,433,nu2 Lup,0.424,,,,
nu Oph b,22.206,,,nu Oph,1.79,3.04,15.1,,4928
nu Oph c,24.662,,,nu Oph,5.931,3.04,15.1,,4928
NY Vir (AB) b,2.78,,,NY Vir (AB),3.39,0.6,,,33000
NY Vir (AB) c,4.49,,,NY Vir (AB),7.54,0.6,,,33000
OGLE-2003-BLG-235L b,2.34,,,OGLE-2003-BLG-235L,4,0.56,,,
OGLE-2005-BLG-071L b,3.5,,,OGLE-2005-BLG-071L,3.6,0.46,,,
OGLE-2005-BLG-169L b,0.0444,,,OGLE-2005-BLG-169L,4,0.69,,,
OGLE-2005-BLG-390L b,0.017,,,OGLE-2005-BLG-390L,2.1,0.22,,,
OGLE-2006-109L b,0.727,,,OGLE-2006-BLG-109L,2.3,0.51,,,
OGLE-2006-109L c,0.271,,,OGLE-2006-BLG-109L,4.5,0.51,,,
OGLE-2006-BLG-284 b,0.453,,,OGLE-2006-BLG-284,2.2,0.45,,,
OGLE-2007-BLG-349L (AB) b,0.25,,,OGLE-2007-BLG-349L (AB),2.59,0.71,,,
OGLE-2007-BLG-368L b,0.0694,,,OGLE-2007-BLG-368L,3.3,0.64,,,
OGLE-2008-BLG-092L A b,0.18,,,OGLE-2008-BLG-092L A,15,0.71,,,
OGLE-2008-BLG-355L b,4.6,,,OGLE-2008-BLG-355L,1.7,0.37,,,
OGLE-2009-BLG-151L b,7.5,,,OGLE-2009-BLG-151L,0.31,0.018,,,
OGLE-2011-BLG-0173L b,0.19,,,OGLE-2011-BLG-0173L,10,0.4,,,
OGLE-2011-BLG-0251L b,0.96,,,OGLE-2011-BLG-0251L,3.86,0.47,,,
OGLE-2011-BLG-0265L b,0.88,,,OGLE-2011-BLG-0265L,1.89,0.211,,,
OGLE-2011-BLG-0420L b,9.4,,,OGLE-2011-BLG-0420L,0.19,0.025,,,
OGLE-2012-BLG-0026L b,0.11,,,OGLE-2012-BLG-0026L,3.82,0.82,,,
OGLE-2012-BLG-0026L c,0.68,,,OGLE-2012-BLG-0026L,4.63,0.82,,,
OGLE-2012-BLG-0358L b,1.85,,,OGLE-2012-BLG-0358L,0.87,0.022,,,
OGLE-2012-BLG-0406L b,2.73,,,OGLE-2012-BLG-0406L,3.45,0.44,,,
OGLE-2012-BLG-0563L b,0.39,,,OGLE-2012-BLG-0563L,0.74,0.34,,,5907
OGLE-2012-BLG-0724L b,0.47,,,OGLE-2012-BLG-0724L,1.6,0.29,,,
OGLE-2012-BLG-0838 b,0.25,,,OGLE-2012-BLG-0838,4.2,0.54,,,
OGLE-2012-BLG-0950L b,0.11,,,OGLE-2012-BLG-0950L,2.7,0.56,,,5500
OGLE-2012-BLG-1323,0.0072,,,,,,,,
OGLE-2013-BLG-0102L b,13.6,,,OGLE-2013-BLG-0102L,0.8,0.097,,,
OGLE-2013-BLG-0132L b,0.26,,,OGLE-2013-BLG-0132L,3.14,0.54,,,
OGLE-2013-BLG-0341L b,0.005222918,,,OGLE-2013-BLG-0341L,0.702,0.1127,,,
OGLE-2013-BLG-0578L b,34,,,OGLE-2013-BLG-0578L,1.16,0.124,,,
OGLE-2013-BLG-0911L b,10.08,,,OGLE-2013-BLG-0911L,10.8,0.29,,,
OGLE-2013-BLG-1721L b,0.64,,,OGLE-2013-BLG-1721L,2.6,0.46,,,
OGLE-2013-BLG-1761L b,2.8,,,OGLE-2013-BLG-1761L,1.8,0.33,,,
OGLE-2014-BLG-0124L b,0.64,,,OGLE-2014-BLG-0124L,3.48,0.89,,,
OGLE-2014-BLG-0257L b,36,,,OGLE-2014-BLG-0257L,0.61,0.19,,,
OGLE-2014-BLG-0319 b,0.57,,,OGLE-2014-BLG-0319,3.49,0.52,,,
OGLE-2014-BLG-0676L b,3.68,,,OGLE-2014-BLG-0676L,4.53,0.73,,,
OGLE-2014-BLG-1112L b,31.7,,,OGLE-2014-BLG-1112L,9.63,1.07,,,
OGLE-2014-BLG-1186L b,0.142,,,OGLE-2014-BLG-1186L,,0.35,,,
OGLE-2014-BLG-1722L b,0.174,,,OGLE-2014-BLG-1722L,1.9,0.4,,,
OGLE-2014-BLG-1722L c,0.2633,,,OGLE-2014-BLG-1722L,2.5,0.4,,,
OGLE-2014-BLG-1760L b,0.573,,,OGLE-2014-BLG-1760L,1.75,0.51,,,
OGLE-2015-BLG-0051L b,0.72,,,OGLE-2015-BLG-0051L,0.73,0.1,,,
OGLE-2015-BLG-0954L b,4.4,,,OGLE-2015-BLG-0954L,1.2,0.37,,,
OGLE-2015-BLG-0966L b,0.066,,,OGLE-2015-BLG-0966L,2.4,0.38,,,
OGLE-2015-BLG-1319L b,45,,,OGLE-2015-BLG-1319L,0.245,0.58,,,
OGLE-2015-BLG-1649 b,2.54,,,OGLE-2015-BLG-1649,2.07,0.34,,,
OGLE-2015-BLG-1670L b,0.0563,,,OGLE-2015-BLG-1670L,3.2,0.55,,,
OGLE-2015-BLG-1771L b,0.433,,,OGLE-2015-BLG-1771L,0.85,0.077,,,
OGLE-2016-BLG-0263L b,4.1,,,OGLE-2016-BLG-0263L,6.5,0.13,,,
OGLE-2016-BLG-0596L b,12.2,,,OGLE-2016-BLG-0596L,,,,,
OGLE-2016-BLG-0613L (AB) b,4.18,,,OGLE-2016-BLG-0613L (AB),6.4,1,,,
OGLE-2016-BLG-0693L b,49,,,OGLE-2016-BLG-0693L,5,,,,
OGLE-2016-BLG-0890 b,38,,,OGLE-2016-BLG-0890,3.5,0.4,,,
OGLE-2016-BLG-1067L b,0.43,,,OGLE-2016-BLG-1067L,1.7,0.3,,,
OGLE-2016-BLG-1093L b,0.71,,,OGLE-2016-BLG-1093L,2.13,0.48,,,
OGLE-2016-BLG-1190L b,13.38,,,OGLE-2016-BLG-1190L,2.17,0.88,,,
OGLE-2016-BLG-1195L b,0.0045,,,OGLE-2016-BLG-1195L,1.16,0.078,,,
OGLE-2016-BLG-1227 b,0.79,,,OGLE-2016-BLG-1227,3.4,0.1,,,
OGLE-2016-BLG-1266L b,11.9,,,OGLE-2016-BLG-1266L,0.42,0.0156,,,
OGLE-2016-BLG-1469L b,13.6,,,OGLE-2016-BLG-1469L,0.33,0.048,,,
OGLE-2016-BLG-1540,,,,,,,,,
OGLE-2016-BLG-1598 b,5.91,,,OGLE-2016-BLG-1598,2.5,0.55,,,
OGLE-2016-BLG-1635 b,11.49,,,OGLE-2016-BLG-1635,1.34,,,,
OGLE-2016-BLG-1800 b,2.59,,,OGLE-2016-BLG-1800,1.88,0.41,,,
OGLE-2016-BLG-1850 b,0.02936,,,OGLE-2016-BLG-1850,1.46,,,,
OGLE-2016-BLG-1928,0.0009,,,,,,,,
OGLE-2017-BLG-0114 b,,,,OGLE-2017-BLG-0114,0.75,,,,
OGLE-2017-BLG-0173L b,9.08,,,OGLE-2017-BLG-0173L,3.75,0.417,,,
OGLE-2017-BLG-0373L b,,,,OGLE-2017-BLG-0373L,,0.25,,,
OGLE-2017-BLG-0406 b,0.41,,,OGLE-2017-BLG-0406,3.5,0.56,,,
OGLE-2017-BLG-0448 b,7.3,,,OGLE-2017-BLG-0448,5.53,0.32,,,
OGLE-2017-BLG-0482 b,9,,,OGLE-2017-BLG-0482,1.8,0.2,,,
OGLE-2017-BLG-0560,1.9,,,,,,,,
OGLE-2017-BLG-0604 b,0.51,,,OGLE-2017-BLG-0604,4.06,0.7,,,
OGLE-2017-BLG-0614 b,31.5,,,OGLE-2017-BLG-0614,4,0.64,,,
OGLE-2017-BLG-0640 b,1.62,,,OGLE-2017-BLG-0640,1.14,0.32,,,
OGLE-2017-BLG-0896,19,,,,,,,,
OGLE-2017-BLG-1038 b,13.3,,,OGLE-2017-BLG-1038,0.68,0.17,,,
OGLE-2017-BLG-1049 b,5.53,,,OGLE-2017-BLG-1049,3.92,0.55,,,
OGLE-2017-BLG-1099 b,3.02,,,OGLE-2017-BLG-1099,2.73,0.45,,,
OGLE-2017-BLG-1140L b,1.63,,,OGLE-2017-BLG-1140L,1.02,0.214,,,
OGLE-2017-BLG-1237 b,3.8,,,OGLE-2017-BLG-1237,,0.46,,,
OGLE-2017-BLG-1275 b,5.9,,,OGLE-2017-BLG-1275,2.09,0.63,,,
OGLE-2017-BLG-1375 b,10.33,,,OGLE-2017-BLG-1375,2.97,0.77,,,
OGLE-2017-BLG-1434L b,0.014,,,OGLE-2017-BLG-1434L,1.18,0.23,,,
OGLE-2017-BLG-1522L b,0.75,,,OGLE-2017-BLG-1522L,0.59,0.046,,,
OGLE-2017-BLG-1691L b,0.046,,,OGLE-2017-BLG-1691L,2.46,0.45,,,
OGLE-2017-BLG-1806 b,0.01658,,,OGLE-2017-BLG-1806,1.75,0.38,,,
OGLE-2018-BLG-0271 b,23.1,,,OGLE-2018-BLG-0271,0.6,0.23,,,
OGLE-2018-BLG-0298 b,0.14,,,OGLE-2018-BLG-0298,2.86,0.69,,,
OGLE-2018-BLG-0360,45,,,OGLE-2018-BLG-0360,3.6,0.72,,,
OGLE-2018-BLG-0383 b,0.0201,,,OGLE-2018-BLG-0383,1.8,0.1,,,
OGLE-2018-BLG-0506 b,0.0513,,,OGLE-2018-BLG-0506,3,0.63,,,
OGLE-2018-BLG-0516 b,0.0632,,,OGLE--2018-BLG-0516,2.2,0.47,,,
OGLE-2018-BLG-0532 b,0.019636,,,OGLE-2018-BLG-0532,1.083,0.199,,,
OGLE-2018-BLG-0567L b,0.32,,,OGLE-2018-BLG-0567L,2.72,0.24,,,
OGLE-2018-BLG-0596 b,0.0267,,,OGLE-2018-BLG-0596,2.15,0.2,,,
OGLE-2018-BLG-0677L b,0.01246,,,OGLE-2018-BLG-0677L,0.63,0.1,,,
OGLE-2018-BLG-0740L b,4.5,,,OGLE-2018-BLG-0740L,4.2,1,,,
OGLE-2018-BLG-0799 b,0.41,,,OGLE-2018-BLG-0799,1.38,0.16,,,
OGLE-2018-BLG-0932 b,0.89,,,OGLE-2018-BLG-0932,1.75,0.72,,,
OGLE-2018-BLG-0962,1.37,,,OGLE-2018-BLG-0962L,3.57,0.55,,,
OGLE-2018-BLG-0977 b,0.0201,,,OGLE-2018-BLG-0977,2,0.47,,,
OGLE-2018-BLG-1011L b,1.8,,,OGLE-2018BLG-1011L,1.8,0.18,,,
OGLE-2018-BLG-1011L c,2.8,,,OGLE-2018BLG-1011L,0.8,0.18,,,
OGLE-2018-BLG-1119 b,0.91,,,OGLE-2018-BLG-1119,4.06,0.48,,,
OGLE-2018-BLG-1126 b,0.056,,,OGLE-2018-BLG-1126,3.23,0.69,,,
OGLE-2018-BLG-1185 b,0.0264,,,OGLE-2018-BLG-1185,1.537,0.37,,,
OGLE-2018-BLG-1212 b,0.2,,,OGLE-2018-BLG-1212,1.68,0.16,,,
OGLE-2018-BLG-1269L b,0.69,,,OGLE-2018-BLG-1269L,4.61,1.13,,,
OGLE-2018-BLG-1367 b,0.95,,,OGLE-2018-BLG-1367,1.21,0.28,,,
OGLE-2018-BLG-1428L b,0.77,,,OGLE-2018-BLG-1428L,3.3,0.43,,,
OGLE-2018-BLG-1489 b,50,,,OGLE-2018-BLG-1489,3.5,0.48,,,
OGLE-2018-BLG-1544 b,11.2,,,OGLE-2018-BLG-1544,6.21,0.62,,,
OGLE-2018-BLG-1647 b,0.97,,,OGLE-2018-BLG-1647,1.36,0.092,,,
OGLE-2018-BLG-1700L b,4.4,,,OGLE-2018-BLG-1700L,2.8,0.54,,,
OGLE-2019-BLG-0033 b,46.3,,,OGLE-2019-BLG-0033,0.585,0.1494,,,
OGLE-2019-BLG-0249 b,7.12,,,OGLE-2019-BLG-0249,1.84,,,,
OGLE-2019-BLG-0299 b,6.22,,,KMT-2017-BLG-2509,2.8,0.46,,,
OGLE-2019-BLG-0304 b,0.51,,,OGLE-2019-BLG-0304,1.23,0.27,,,
OGLE-2019-BLG-0362 b,3.3,,,OGLE-2019-BLG-0362,2.7,0.42,,,
OGLE-2019-BLG-0468L b,3.43,,,OGLE-2019-BLG-0468L,3.29,0.92,,,
OGLE-2019-BLG-0468L c,10.22,,,OGLE-2019-BLG-0468L,2.77,0.92,,,
OGLE-2019-BLG-0551,0.0242,,,,,,,,
OGLE-2019-BLG-0679 b,3.34,,,OGLE-2019-BLG-0679,6.99,,,,
OGLE-2019-BLG-0825 b,50,,,OGLE-2019-BLG-0825,0.06,0.87,,,
OGLE-2019-BLG-0954L b,14.2,,,OGLE-2019-BLG-0954L,2.65,0.8,,,
OGLE-2019-BLG-0960 b,0.00708,,,OGLE-2019-BLG-0960,1.6,0.47,,,
OGLE-2019-BLG-1053L b,0.0078,,,OGLE-2019-BLG-1053L,3.4,0.61,,,
OGLE-2019-BLG-1180L b,1.75,,,OGLE-2019-BLG-1180L,5.19,0.545,,,
OGLE-2019-BLG-1470L (AB)b,2.2,,,OGLE-2019-BLG-1470L (AB),3.1,0.72,,,
OGLE-2019-BLG-1492 b,0.1167,,,OGLE-2019-BLG-1492,2.7,0.68,,,
OGLE-2023-BLG-0836L b,4.36,,,OGLE-2023-BLG-0836L,3.7,0.56,,,
OGLE2-TR-L9 b,4.34,1.614,,OGLE2-TR-L9,0.0404,1.42,1.503,1,6933
OGLE-GD-ECL-11388 b,12.5,,,OGLE-GD-ECL-11388,,0.61,,,
OGLE-TR-10 b,0.68,1.72,,OGLE-TR-10,0.04162,1.18,1.16,1.1,6075
OGLE-TR-111 b,0.54,1.077,,OGLE-TR-111,0.047,0.82,0.831,1.1,5070
OGLE-TR-113 b,1.24,1.11,,OGLE-TR-113,0.0229,0.78,0.765,0.7,4752
OGLE-TR-132 b,1.17,1.23,,OGLE-TR-132,0.0306,1.26,1.34,,6210
OGLE-TR-182 b,1.06,1.47,,OGLE-TR-182,0.051,1.14,1.14,,5924
OGLE-TR-211 b,0.75,1.26,,OGLE-TR-211,0.051,1.33,1.64,,6325
OGLE-TR-56 b,1.3,1.2,,OGLE-TR-56,0.0225,1.17,1.32,2,
ome Ser b,1.7,,,ome Ser,1.1,2.17,12.3,,4770
omi CrB b,1.5,,,omi CrB,0.83,2.13,10.4,,4749
omi UMa A b,4.1,,,omi UMa A,3.9,3.09,14.1,,5242
Oph 11 b,21,,,Oph 11,243,0.0162,,0.011,2375
OTS-44,11.5,,1700,,,,,,
OY Car b,8.48,,,OY Car,6.18,,,,
PDS 110 b,35,,,PDS 110,2,1.6,2.23,0.011,
PDS 70 b,7,,,PDS 70,22.7,0.76,1.26,0.0054,4237
PDS 70 c,4.4,,,PDS 70,30.2,0.76,1.26,0.0054,4237
pi2 UMa b,7.1,,,pi2 UMa,0.87,1.234,,4.604,4415
pi Men b,12.6,,,pi Men,3.308,1.094,1.1,2.98,6037
pi Men c,0.01142,0.16719,1147,pi Men,0.06702,1.094,1.1,2.98,6037
pi Men d,0.0421,,,pi Men,,1.094,1.1,2.98,6037
PM J17083-2548S (AB)b,7.3,,,PM J17083-2548S,9,,,,
Pollux b,2.9,,,Pollux,1.69,1.47,9.3,,4666
POTS-1 b,2.31,0.941,,POTS-1,0.03734,0.695,,,4400
PPL 15 b,60,,,PPL 15,0.02,0.07,,,
Pr 0201 b,0.54,,,Pr 0201,,1.234,1.167,0.578,6174
Pr 0211 b,1.88,,,Pr 0211,0.03184,0.935,0.827,0.79,
Pr 0211 c,7.95,,,Pr 0211,5.8,0.935,0.827,0.79,
Proplyd 133-353,13,,2450,Proplyd 133-353,,,,0.0005,
Proxima Centauri b,0.00337,,216,Proxima Centauri,0.04856,0.12,0.141,,3050
Proxima Centauri d,0.00082,,,Proxima Centauri,0.02885,0.12,0.141,,3050
psi1 Aqr b,3.2,,,psi1 Aqr,0.7,1.4,11,3.56,4665
psi1 Dra Bb,1.53,,,psi1 Dra B,4.43,1.19,,3.3,6212
PSO J318.5-22,,,,,,,,,
PSR 1719-14 b,1,0.4,,PSR 1719-14,0.0044,1.4,,12.5,
PSR B0329+54 b,0.0062,,,PSR B0329+54,10.26,,,,
PSR B0943+10 b,2.8,,,PSR B0943+10,1.8,1.5,,,
PSR B0943+10 c,2.6,,,PSR B0943+10,2.9,1.5,,,
PSR B1257+12 b,7.00E-05,,,PSR B1257+12,0.19,,,1,
PSR B1257+12 c,0.013,,,PSR B1257+12,0.36,,,1,
PSR B1257+12 d,0.012,,,PSR B1257+12,0.46,,,1,
PSR B1620-26 (AB) b,2.5,,,PSR B1620-26 (AB),23,1.35,,,
PSR B1802-07 b,10,,,PSR B1802-07,0.008098,1.4,,12,
PSR J0023+0923 b,18.85,,,PSR J0023+0923,0.00586,1.4,,,
PSR J0023-7203J b,24,,,PSR J0023-7203J,0.005378,1.4,,13.06,
PSR J0024-7204I b,2148591.7,,,PSR J0024-7204I,0.008246,1.4,,13.06,
PSR J0024-7204O b,25,,,PSR J0024-7204O,0.005826,,,13.06,
PSR J0024-7204P b,20,,,PSR J0024-7204P,0.1472,1.4,,13.06,
PSR J0024-7204R b,30,,,PSR J0024-7204R,0.0036,,,,
PSR J0312-0921 b,10.47,,,PSR J0312-0921,0.00465,1.4,,,
"PSR J0636+5129	b",8,,,PSR J0636+5129,,1.4,,,
PSR J0742+4110 b,60,,,PSR J0742+4110,0.0276,1.4,1.43E-05,7.4,
PSR J0952-0607 b,32,,,PSR J0952-0607,,,,,
PSR J1211-0633 b,10,,,PSR J1211-0633,0.0116,1.4,1.43E-05,5.8,
PSR J1301+0833 b,36,,,PSR J1301+0833,,,,,
PSR J1311-3430 b,12,,,PSR J1311-3430,,,,,
PSR J1317-0157 b,20,,,PSR J1317-0157,0.004391,1.4,1.43E-05,8.6,
PSR J1446-4701 b,23,,,PSR J1446-4701,0.0093,1.4,,3.6,
PSR J1502-6752 b,26,,,PSR J1502-6752,0.04,,,,
PSR J1518+0204C b,38,,,PSR J1518+0204C,0.004339,1.4,,10.62,
PSR J1544+4937 b,18,,,PSR J1544+4937,0.00537,1.7,,11.65,
PSR J1630+3550 b,11.3,,,PSR J1630+3550,,1.4,,,
PSR J1641+3627E b,19.42,,,PSR J1641+3627E,,,,,
PSR J1641+8049 b,48.16,2.14,5970,PSR J1641+8049,0.004395,1.3,1.87E-05,3.28,
PSR J1653-0158 b,14,,,PSR J1653-0158,,,,,
PSR J1701-3006E b,35,,,PSR J1701-3006E,0.0065,1.4,,11.78,
PSR J1701-3006F b,20,,,PSR J1748-2021F,0.007526,1.4,,11.78,
PSR J1720-0534 b,31.5,,,PSR J1720-0534,,,,,
PSR J1745+1017 b,16,,,PSR J1745+1017,,,,,
PSR J1748-2021H,7.54,,,PSR J1748-2021H,0.0111,1.4,,2.4,
PSR J1748-2446ae b,19,,,PSR J1748-2446ae,0.006771,1.4,,12,
PSR J1748-2446O b,40,,,PSR J1748-2446O,0.008995,1.4,,12,
PSR J1807-2459 A b,9.4,,,PSR J1807-2459A,,1.4,,,
PSR J1824-2452G b,11,,,PSR J1824-2452G,0.004875,1.4,,12,
PSR J1824-2452J b,15,,,PSR J1824-2452J,0.00465,1.4,,12,
PSR J1824-2452L b,22,,,PSR J1824-2452L,0.008162,1.4,,12,
PSR J1836-2354A b,20,,,PSR J1836-2354A,0.007595,1.4,,12,
PSR J1853-0842A b,27.8,,,PSR J1853-0842A,0.00618,1.4,,10.4,
PSR J1911+0102A b,20,,,PSR J1911+0102A,0.00596,1.4,,5.4,
PSR J1928+1245 b,11,,,PSR J1928+1245,0.005825,1.4,,28,
PSR J1953+1844E b,10,0.8,,PSR J1953+1844E,,,,,
PSR J1953+1846A b,32,,,PSR J1953+1846A,0.00694,1.4,,12,
PSR J1959+2048 b,24,,,PSR J1959+2048,,,,,
PSR J2051-0827 b,28.3,,,PSR J2051-0827,,1.4,,5.61,
PSR J2052+1219 b,38,,,PSR J2052+1219,0.005659,1.4,,,
PSR J2055+3829 b,39,,,PSR J2055+3829,,1.4,,,
PSR J2241-5236 b,12,,,PSR J2241-5236,,1.35,,5.22,
PSR J2322-2650 b,0.7949,,,PSR J2322-2650,0.0102,1.4,,,
PZ Tel b,27,,2987,PZ Tel,27,1.13,1.23,0.023,5338
Qatar-10 b,0.736,1.534,1955,Qatar-10,0.0286,1.156,1.254,3.2,6124
Qatar-1 b,1.294,1.143,,Qatar-1,0.02332,0.838,0.803,,5013
Qatar-2 b,2.494,1.254,1344,Qatar-2,0.02153,0.74,0.78,5,4645
Qatar-3 b,4.31,1.096,1681,Qatar-3,0.03783,1.145,1.272,0.31,6007
Qatar-4 b,5.85,1.552,1570,Qatar-4,0.02861,0.896,0.849,0.17,5215
Qatar-5 b,4.32,1.107,1415,Qatar-5,0.04127,1.128,1.076,0.53,5747
Qatar-6 A b,0.668,1.062,1006,Qatar-6 A,0.0423,0.822,0.722,1,5052
Qatar-7 b,1.88,1.7,2053,Qatar-7,0.0352,1.409,1.564,1,6387
Qatar-8 b,0.371,1.285,1457,Qatar-8,0.0474,1.029,1.315,8.3,5687
Qatar-9 b,1.19,1.009,1134,Qatar-9,0.0234,0.719,0.696,7.5,4309
QZ Lib b,32,1,1700,QZ Lib,,0.8,0.01,,10500
QZ Ser b,0.63,,,QZ Ser,0.019,0.9,,,
rho1 Cnc Ab,0.84,,,rho1 Cnc A,0.11339,0.9,0.963,10.2,5250
rho1 Cnc Ac,0.1784,,,rho1 Cnc A,0.23735,0.9,0.963,10.2,5250
rho1 Cnc Ad,3.84,,,rho1 Cnc A,5.446,0.9,0.963,10.2,5250
rho1 Cnc Ae,0.02703,0.1737,,rho1 Cnc A,0.015439,0.9,0.963,10.2,5250
rho1 Cnc Af,0.1479,,,rho1 Cnc A,0.7733,0.9,0.963,10.2,5250
rho CrB b,1.04,,614,rho CrB,0.2245,0.99,1.284,9,5822
rho Crb c,0.0887,,448,rho CrB,0.4206,0.99,1.284,9,5822
rho Crb d,0.068,,,rho CrB,0.827,0.99,1.284,9,5822
rho Crb e,0.01192,,,rho CrB,0.1061,0.99,1.284,9,5822
rho Ind b,1.82,,,rho Ind,2.32,1.06,1.1,12.96,5636
RIK 72 b,56.1,3.06,2722,RIK 72,,0.439,0.961,,3349
Roque 12 b,20,1,,Roque 12,,0.06,0.13,,
Ross 128 b,0.0044,,256,Ross 128,0.0496,0.168,0.1967,5,3192
Ross 19 b,27,,500,Ross 19,9900,0.362,0.338,7.2,3481
Ross 458 (AB) c,11.3,1.07,677,Ross 458 (AB),1168,0.6,,0.475,
Ross 508 b,0.01249,,,Ross 508,0.053,0.177,0.211,,3071
ROXs 12 b,16,,,ROXs 12,210,0.87,,0.0076,3850
ROXs 42B (AB) b,9,2.5,1975,ROXs 42B (AB),140,0.6,,0.0068,2200
RR Cae (AB) b,3,,,RR Cae (AB),5.2,0.622,,,
S1429 b,1.8,,683,S1429,0.384,1.26,2.13,4.3,6000
Sand 178 b,10.4,,,Sand 178,,,,,
SAX J1808.4-3658 b,52.35,1.26,4300,SAX J1808.4-3658,0.00424,1.4,,,
SCR J0959-3007 b,35,,,SCR J0959-3007,,,,,
SCR J1845-6357 b,45,0.7,950,SCR J1845-6357,4.5,0.09,,2.45,2650
SDSS 1021-03 b,23,1.02,1023,SDSS 1021-03,,,,,
SDSS 1604+1000 b,50,,,SDSS 1604+1000,0.004,0.3,0.35,,
SDSS J080531+481233 A,60,,,,,,,,
SDSS J080531+481233 B,66.28,,,,0.82,,,,
SDSS J0926+3624 b,35,0.47,,SDSS J0926+3624,,0.872,0.00924,,17000
SDSS J105213.51+442255.7 A,49,,,,,,,,
SDSS J105213.51+442255.7 B,39,,,,1.84,,,,
SDSS J105754 b,56,,2100,SDSS J105754,0.003,0.83,,,11500
SDSS J1110+0116,11,1.18,,SDSS J1110+0116,,,,0.12,940
SDSS J1205-0242 b,49,0.749,,SDSS J1205-0242,0.002,0.39,0.022,,23680
SDSS J1228+1040 b,,0.0009,1800,SDSS J1228+1040,0.0034,0.705,,,
SDSS J1240-0159 b,15,,,SDSS J1240-0159,0.001176,0.31,0.01,,17000
SDSS J1411+2009 b,50,,1300,SDSS J1411+2009,,0.53,,,13000
SDSS J1433+1011 b,57.1,,2370,SDSS J1433+1011,,0.8,,,13200
SDSS J1435+3733 (AB)b,16.7,,,SDSS J1435+3733 (AB),3.42,0.5,0.0145,,
SDSS J22255+0061A b,39,,,SDSS J22255 + 0016A,207,0.66,,1.4,10926
sig Per b,6.5,,,sig Per,1.8,2.25,28,,4367
SIMP J0136+09,17.8,1.15,1150,,,,,,
SMSS J1606-1000 b,60,0.89,,SMSS J1606-1000,,0.72,,,
SN2003aw b,15,,,SN2003aw,0.001216,0.42,0.01,,11000
SOI-1 b,,1.5,,SOI-1,0.014,,0.4,,
SOI-2 b,,2.22,,SOI-2,,,0.55,,
SOI-3 b,,,,SOI-3,,,1.14,,
SOI-4 b,,,,SOI-4,,,0.57,,
SOI-5 b,,,,SOI-5,,,,,
SOI-6 b,,,,SOI-6,,,0.58,,
SOI-7 b,,1.96,,SOI-7,,,0.52,,
SOI-8 b,,,,SOI-8,,,0.57,,
S Ori 51,20.8,,,,,,,,
S Ori 68,5,,,2MASS J05383888-0228016,1700,,,,
S Ori 70,4.5,,1050,,,,,,
S Ori J05370549-0251290,8.6,1.28,2300,,,,,,
S Ori J05380006-0247066,8.1,1.62,2000,,,,,,
S Ori J05380323-0226568,8.2,,,,,,,,
S Ori J05382471-0300283,10.8,,,,,,,,
S Ori J05382650-0209257,12.9,1.82,2350,,,,,,
S Ori J05382951-0259591,12.2,1.86,2250,,,,,,
S Ori J05382952-0229370,10.2,1.83,2100,,,,,,
S Ori J05382962-0304382,12.4,1.83,2300,,,,,,
S Ori J05385751-0229055,9.5,,,,,,,,
S Ori J05400004-0240331,8.4,,,,,,,,
S Ori J05401734-0236226,6.7,1.68,1800,,,,,,
S Ori J05403782-0240011,7.4,1.85,1800,,,,,,
